accuracy,loss,iteration
0.78125,0.5994564890861511,0
0.78125,0.5197454690933228,100
0.875,0.38740742206573486,200
0.78125,0.43478596210479736,300
0.78125,0.4932926297187805,400
0.625,0.9708671569824219,500
0.84375,0.4676316976547241,600
0.96875,0.20357893407344818,700
0.90625,0.35001981258392334,800
0.84375,0.4073156416416168,900
0.84375,0.4316578209400177,1000
0.75,0.6312839388847351,1100
0.875,0.27021193504333496,1200
0.90625,0.2722947597503662,1300
0.8125,0.39195743203163147,1400
0.78125,0.5581425428390503,1500
0.8125,0.4414674937725067,1600
0.78125,0.641465961933136,1700
0.78125,0.7157220840454102,1800
0.78125,0.47412335872650146,1900
0.8125,0.5439846515655518,2000
0.53125,1.0165208578109741,2100
0.65625,0.7766250967979431,2200
0.75,0.6839951276779175,2300
0.8125,0.5416435599327087,2400
0.8125,0.4734540581703186,2500
0.6875,0.7971795797348022,2600
0.71875,0.7122688293457031,2700
0.65625,0.6409410238265991,2800
0.875,0.3261870741844177,2900
0.875,0.378845751285553,3000
0.75,0.6135369539260864,3100
